avg,ca_state,cd_dep_college_count,cd_dep_count,cd_dep_employed_count,cd_gender,cd_marital_status,cnt1,cnt2,cnt3,max,stddev_samp
6.0,AK,6,0,0,F,D,1,1,1,6,
0.0,AK,0,0,1,F,D,1,1,1,0,
4.0,AK,4,0,2,F,D,1,1,1,4,
5.0,AK,5,0,3,F,D,1,1,1,5,
3.0,AK,3,0,5,F,D,1,1,1,3,
0.0,AK,0,1,2,F,D,1,1,1,0,
0.0,AK,0,1,3,F,D,1,1,1,0,
0.0,AK,0,1,4,F,D,1,1,1,0,
3.0,AK,3,1,5,F,D,1,1,1,3,
4.0,AK,4,1,6,F,D,1,1,1,4,
2.0,AK,2,2,0,F,D,1,1,1,2,
0.0,AK,0,2,1,F,D,2,2,2,0,0.0
1.0,AK,1,2,2,F,D,2,2,2,1,0.0
4.0,AK,4,2,4,F,D,1,1,1,4,
6.0,AK,6,2,4,F,D,1,1,1,6,
2.0,AK,2,2,5,F,D,2,2,2,2,0.0
3.0,AK,3,2,5,F,D,1,1,1,3,
4.0,AK,4,2,5,F,D,1,1,1,4,
1.0,AK,1,3,0,F,D,1,1,1,1,
2.0,AK,2,3,0,F,D,1,1,1,2,
6.0,AK,6,3,2,F,D,1,1,1,6,
4.0,AK,4,3,5,F,D,1,1,1,4,
6.0,AK,6,3,6,F,D,1,1,1,6,
5.0,AK,5,4,0,F,D,1,1,1,5,
1.0,AK,1,4,1,F,D,1,1,1,1,
4.0,AK,4,4,1,F,D,1,1,1,4,
0.0,AK,0,4,2,F,D,1,1,1,0,
5.0,AK,5,4,2,F,D,1,1,1,5,
5.0,AK,5,4,4,F,D,1,1,1,5,
3.0,AK,3,4,6,F,D,1,1,1,3,
1.0,AK,1,5,0,F,D,1,1,1,1,
1.0,AK,1,5,1,F,D,1,1,1,1,
4.0,AK,4,5,3,F,D,1,1,1,4,
3.0,AK,3,5,4,F,D,2,2,2,3,0.0
0.0,AK,0,5,5,F,D,1,1,1,0,
1.0,AK,1,5,5,F,D,1,1,1,1,
3.0,AK,3,5,5,F,D,1,1,1,3,
1.0,AK,1,5,6,F,D,1,1,1,1,
4.0,AK,4,5,6,F,D,1,1,1,4,
1.0,AK,1,6,1,F,D,1,1,1,1,
0.0,AK,0,6,2,F,D,1,1,1,0,
1.0,AK,1,6,4,F,D,1,1,1,1,
3.0,AK,3,6,4,F,D,1,1,1,3,
5.0,AK,5,6,5,F,D,1,1,1,5,
6.0,AK,6,6,5,F,D,1,1,1,6,
6.0,AK,6,6,6,F,D,1,1,1,6,
4.0,AK,4,0,0,F,M,1,1,1,4,
5.0,AK,5,0,0,F,M,1,1,1,5,
6.0,AK,6,0,1,F,M,1,1,1,6,
3.0,AK,3,0,2,F,M,1,1,1,3,
6.0,AK,6,0,2,F,M,1,1,1,6,
3.0,AK,3,0,3,F,M,1,1,1,3,
3.0,AK,3,0,4,F,M,2,2,2,3,0.0
1.0,AK,1,0,5,F,M,1,1,1,1,
4.0,AK,4,0,5,F,M,1,1,1,4,
5.0,AK,5,0,5,F,M,1,1,1,5,
0.0,AK,0,0,6,F,M,1,1,1,0,
6.0,AK,6,0,6,F,M,1,1,1,6,
1.0,AK,1,1,0,F,M,2,2,2,1,0.0
4.0,AK,4,1,0,F,M,1,1,1,4,
2.0,AK,2,1,3,F,M,1,1,1,2,
0.0,AK,0,1,4,F,M,1,1,1,0,
1.0,AK,1,1,4,F,M,1,1,1,1,
4.0,AK,4,1,4,F,M,1,1,1,4,
4.0,AK,4,2,0,F,M,1,1,1,4,
5.0,AK,5,2,0,F,M,2,2,2,5,0.0
5.0,AK,5,2,1,F,M,1,1,1,5,
0.0,AK,0,2,2,F,M,1,1,1,0,
4.0,AK,4,2,2,F,M,1,1,1,4,
5.0,AK,5,2,2,F,M,1,1,1,5,
1.0,AK,1,2,6,F,M,1,1,1,1,
5.0,AK,5,2,6,F,M,1,1,1,5,
0.0,AK,0,3,0,F,M,1,1,1,0,
1.0,AK,1,3,0,F,M,1,1,1,1,
5.0,AK,5,3,0,F,M,1,1,1,5,
3.0,AK,3,3,1,F,M,1,1,1,3,
2.0,AK,2,3,2,F,M,1,1,1,2,
5.0,AK,5,3,2,F,M,1,1,1,5,
2.0,AK,2,3,4,F,M,1,1,1,2,
4.0,AK,4,3,5,F,M,1,1,1,4,
5.0,AK,5,4,0,F,M,1,1,1,5,
4.0,AK,4,4,1,F,M,1,1,1,4,
3.0,AK,3,4,2,F,M,1,1,1,3,
1.0,AK,1,4,4,F,M,1,1,1,1,
3.0,AK,3,4,4,F,M,1,1,1,3,
4.0,AK,4,4,4,F,M,1,1,1,4,
6.0,AK,6,4,5,F,M,1,1,1,6,
4.0,AK,4,4,6,F,M,1,1,1,4,
0.0,AK,0,5,0,F,M,1,1,1,0,
1.0,AK,1,5,0,F,M,1,1,1,1,
2.0,AK,2,5,2,F,M,1,1,1,2,
0.0,AK,0,5,3,F,M,1,1,1,0,
2.0,AK,2,5,3,F,M,1,1,1,2,
5.0,AK,5,5,3,F,M,1,1,1,5,
0.0,AK,0,5,4,F,M,2,2,2,0,0.0
1.0,AK,1,5,4,F,M,1,1,1,1,
3.0,AK,3,5,4,F,M,1,1,1,3,
6.0,AK,6,5,4,F,M,1,1,1,6,
4.0,AK,4,5,5,F,M,1,1,1,4,
5.0,AK,5,5,6,F,M,1,1,1,5,
