i_brand,i_current_price,i_item_desc,i_wholesale_cost,revenue,s_store_name
edu packexporti #1,8.69,A,4.17,1.0,able
corpmaxi #11,5.86,A,5.21,1.55,able
corpmaxi #11,5.86,A,5.21,1.81,able
exportiedu pack #2,8.61,A,3.61,5.93,able
importounivamalg #5,0.58,A,0.17,5.53,able
amalgunivamalg #8,3.36,A,1.41,4.7,able
edu packunivamalg #9,2.0,A,1.24,5.1,able
edu packamalg #2,2.97,A,1.18,8.07,able
edu packimporto #1,5.33,A,3.09,5.44,able
importoexporti #1,4.5,Aback black readers form just at ,1.39,4.43,able
amalgexporti #2,2.46,Aback historic days could not remain by a traditions. Correspond,0.86,4.01,able
importocorp #4,4.78,"A bit constant books unite human phenomena. Other offences ought to challenge traditions. Forces work downstairs in a workers. Urgent comments may draw arguably critical, busy ",2.58,1.44,able
amalgamalg #2,3.36,"A bit excellent pages help human households. Rare, happy eyes avoid instruments. P",2.55,3.69,able
exportiunivamalg #3,2.96,"A bit new books tell supporters. Institutional, small dimensions ",2.07,1.8,able
importounivamalg #9,3.73,A bit other groups bring suddenly usual services. Details work at first italian hands. Certain issues would form pp.; free drawings must allow independ,2.31,0.16,able
importounivamalg #11,1.21,A bit popular commentators will not beg most great words. So wrong problems ought to punch also. Good citizens equate tight succe,0.78,3.56,able
amalgmaxi #9,1.99,A bit scottish obligations ought to feel almost local difficulties. Acceptable symptoms assign skills; convincing groups hel,1.59,4.88,able
exportiimporto #1,1.63,A bit top candidates see constantly corporate options. Here true ,1.09,0.81,able
scholarunivamalg #6,4.72,"Able, able allegations contact yet tories. Small, healthy experiences give players. Still new records would not subscribe ultimat",4.24,5.85,able
importonameless #1,3.97,"Able, adult views suggest relatively unpleasant ",1.19,8.43,able
amalgbrand #3,1.49,Able areas used to take ago unknown forest,1.04,1.03,able
scholarbrand #3,0.15,"Able authorities can think extra, local changes. Proceedings mark hard men. Particular, statutory practitioners play then adu",0.08,7.34,able
namelessbrand #5,7.61,Able authors work near however dif,5.7,2.2,able
exportiimporto #2,2.9,"Able babies maintain approximately old instances. Blue words ought to kill current, natural years; exact, prime discussions would not t",2.37,4.44,able
amalgexporti #1,4.02,"Able casualties apply as places. Alternatives go then just individual issues. Old, expert demands must not see highly hours; willing, liberal children would not remember regional, unable bird",1.28,7.6,able
scholarbrand #1,0.38,"Able children upset. Appropriately important women will stay on the discussions; skilled, royal levels might regret most more available effects. Old years commence well wooden victims. Speakers wo",0.26,3.48,able
amalgscholar #2,8.62,Able circumstances stay far young rights. Too fat parties may ensure rights. European police make aware researchers; val,5.6,2.48,able
exportiunivamalg #13,19.47,"Able companies admit at least minimum schools. Also sensitive opportunities provide. Maximum nurses attempt central, human areas; quick examples take red, serious",15.57,3.05,able
amalgamalg #1,9.93,"Able companies please to a procedures. Children create then either political bonds; other pupils let even vast, left hands. Other armies will prom",3.87,2.3,able
amalgamalg #1,9.93,"Able companies please to a procedures. Children create then either political bonds; other pupils let even vast, left hands. Other armies will prom",3.87,7.59,able
exportiamalgamalg #14,7.64,"Able, complete messages deal concerned, single factors. So sure worlds contribute police. Main masters will not become in a eyes. Countries see never yet left beliefs. Complaints would expect ne",4.81,7.59,able
maxinameless #3,69.37,"Able costs turn no longer. Heavy bodies use because of the degrees. Traditional, medical cars act then animals. Attempts could not sue twice better cultural weaknesses. High lives can reach russians. ",61.04,1.78,able
edu packimporto #1,94.07,Able courses could go as free results; rebels defend even with a years. New policies pick yesterday widely free processes. Early hands mind both eyes. Farmers ought to stand pr,73.37,1.52,able
edu packimporto #1,0.38,"Able, cultural countries should not mean other, big meetings. Parents take in a pressures. Exactly likely quantities might not refuse particular plans. Central g",0.18,4.86,able
univbrand #5,1.98,"Able doubts fight painfully. Corporate, isolated shoes get too products. Practica",1.2,1.27,able
univbrand #5,1.98,"Able doubts fight painfully. Corporate, isolated shoes get too products. Practica",1.2,0.91,able
edu packedu pack #1,0.88,"Able eyes guide wrong lives. Factors leave public, free pictures. I",0.29,3.11,able
edu packamalg #1,6.28,"Able factories must hold prime, black c",4.64,0.79,able
edu packamalg #1,6.28,"Able factories must hold prime, black c",4.64,0.88,able
importoamalg #2,1.33,"Able, far years leave seriously projects. Available, practical eyes say likely, conservative women. Necessary",0.98,6.86,able
amalgscholar #1,5.9,"Able, french cars might see private aspects. Outside, rural methods see high ill things; both considerable regulations may not get. Then powerful points ",2.24,0.0,able
importoimporto #1,7.21,Able friends af,5.33,5.33,able
corpbrand #8,1.2,"Able friends shall respond all right happy details; too sensitive investments could not make however great, correct reasons; big, ruling servants look at least. R",0.76,8.82,able
univnameless #4,8.25,"Able, general pictures g",6.43,6.37,able
exportiunivamalg #8,1.82,"Able, high teachers will not insist never both given measures. Alone, sick options increase there. Fond, primary examples shall not keep likely, new supporters. Troops shall not ",1.21,8.21,able
exportiimporto #1,2.98,"Able, historical affairs attribu",1.43,0.17,able
namelessbrand #4,3.25,"Able, hot patterns make so confidential meals. Even easy photographs get radical parts. Specialists can feel for example english, elderly insects. True, young buildings hear so powerful savings. Soci",2.56,3.08,able
edu packimporto #1,7.08,"Able, important cats",2.54,4.96,able
amalgedu pack #2,1.76,"Able, inc details confer european lights. Habits provide high notes. Odd men give furthermore often magnetic resour",1.14,1.75,able
amalgedu pack #2,1.76,"Able, inc details confer european lights. Habits provide high notes. Odd men give furthermore often magnetic resour",1.14,6.08,able
importoamalg #1,1.38,"Able incidents make. Rapid, increased issues face yet big feelings. Similar sales signal then brilliant troops. Farmers repair. Again due neighbours lif",0.85,4.49,able
importoamalg #1,1.38,"Able incidents make. Rapid, increased issues face yet big feelings. Similar sales signal then brilliant troops. Farmers repair. Again due neighbours lif",0.85,5.21,able
exportibrand #9,4.67,"Able investigations flourish also social options. Bodies appear. Black, tiny services might not wait more estimates. So internal problems work yesterday regular terms. Ago usef",4.01,4.76,able
edu packimporto #1,8.31,"Able lives shall organize here national clothes. Now other patients shall admit only nice payments. Symptoms talk in order long forces. Good, wrong sides give in addition alternative, valuable patien",3.65,3.85,able
