avg,substr
56.874,Did not fit
32.24,Did not get it on ti
50.426,Did not like the col
32.23,Did not like the mak
41.69,Did not like the mod
61.365,Did not like the war
65.82555555555555,Does not work with a
29.425,duplicate purchase
28.995,Found a better exten
51.3475,Found a better price
64.426,Gift exchange
46.96,it is a girl
45.946666666666665,its is a boy
40.32,Lost my job
54.455,No service location 
61.99,Not the product that
41.07333333333333,Package was damaged
63.86333333333334,Parts missing
36.97428571428571,reason 23
37.46666666666667,reason 24
26.2325,reason 25
36.14,reason 26
43.9825,reason 27
52.87,reason 28
65.10666666666667,reason 29
43.13375,reason 31
89.6,reason 32
54.0575,reason 33
57.83,reason 34
41.785,reason 35
51.095,reason 36
25.54,reason 37
67.04285714285714,reason 38
64.662,reason 39
53.578,reason 40
58.395,reason 41
52.95666666666666,reason 42
66.405,reason 43
46.615,reason 44
57.29,reason 45
47.0225,reason 46
39.712,reason 47
96.82,reason 49
23.5,reason 50
39.50666666666667,reason 51
53.526,reason 52
52.0,reason 53
60.795,reason 54
65.548,reason 55
68.68666666666667,Stopped working
58.34,unauthoized purchase
41.695,Wrong size
